12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 304 - 6.505 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /favicon.png HTTP/1.0" 200 - 1.808 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:32 +0000 127.0.0.1 "GET /sw.js HTTP/1.0" 304 - 0.257 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 75.905 ms "-" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 304 - 6.072 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 304 - 7.024 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 304 - 7.964 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 304 - 8.197 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:19 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 304 - 8.506 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:21 +0000 127.0.0.1 "GET /sw.js HTTP/1.0" 304 - 0.751 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
